iter	RMSE
0	433.564129511	407.386697522	384.919192433	365.115060144	347.23982085	332.3186449
6	318.3805179
7	307.3682368
8	297.122425
9	288.3136099110	280.6224175111	274.5653831112	269.1104126113	263.1484219114	258.1294002115	253.0306921116	249.2209221117	245.4946256118	242.4795639119	239.4497938220	236.8556569221	234.41634
22	232.6256906
23	230.6858808
24	228.8372813
25	227.4242059
26	225.2316081
27	223.4212711
228	222.5577799229	220.5848285330	219.392208
31	218.3125847
32	216.9485621
33	216.034475
34	214.8082398
35	213.7528768
36	212.4518057
37	211.4009237
38	210.6467882
39	209.6674518
40	208.3558467441	207.426513
42	206.5501341
43	205.5099161
44	204.4078587
45	203.3275738
46	202.3675417
47	201.7424708
48	201.0902651
49	200.3780616
50	199.8137068
51	199.0249876
52	198.1071749553	197.2743233554	196.3130205555	195.3199385656	194.6939857	57	193.9744358	58	193.1325559	59	192.4021560	60	191.4668435
61	190.6584965
62	189.8914881
63	189.1438422
64	188.6184865	65	187.9692466	66	187.3315967	67	186.5733968	68	185.9989969	69	185.5224670	70	184.8701671	71	184.3226972	72	183.7693673	73	183.243774	174	182.649175	175	181.959576	176	181.466177	177	180.76378	1878	180.0298582
79	179.4835357
80	178.9141322
81	178.3385244
82	177.8365348
83	177.4439709
84	176.8414681
85	176.3534612
86	175.9091751
87	175.5510077
88	175.2609481
89	174.7491214
90	174.4372836
91	174.0161649
92	173.5585999
93	173.3526967
94	172.9814623
95	172.3187823
96	171.9350924
97	171.3557238
98	170.7649276
99	170.4815415
100	170.1998102
101	169.6929674
102	169.2312336
103	168.7901385
104	168.2763915
105	167.9068982
106	167.3415715
107	167.0198434
108	166.5497499
109	166.1211138
110	165.8027794
111	165.4957021
112	164.9559856
113	164.5489737
114	163.9550581
115	163.4806329
116	163.1030299
117	162.7078162
118	162.3569622
119	161.9071101
120	161.4101857
121	161.039329
122	160.5680272
123	160.1453982
124	159.7112965
125	159.4597741
126	159.2106241
127	158.6839298
128	158.4548278
129	158.0526106
130	157.4233625
131	157.0201386
132	156.7956427
133	156.5271354
134	156.2818181
135	155.8170754
136	155.4090937
137	155.1301068
138	154.7569987
139	154.5077003
140	154.2177898
141	153.726995
142	153.4186739
143	153.1768673
144	152.9068811
145	152.6958359
146	152.430208
147	152.0145599
148	151.6208376
149	151.3429433
150	150.9274349
151	150.5905681
152	150.3642076
153	150.1921089
154	149.9078809
155	149.6862122
156	149.3886181
157	149.1717847
158	148.8521345
159	148.4719298
160	148.2487471
161	147.8694107
162	147.6239987
163	147.4146557
164	147.1482556
165	146.95699
166	146.619988
167	146.253648
168	146.0633174
169	145.7374848
170	145.5520685
171	145.2966042
172	145.0136352
173	144.7133804
174	144.4556417
175	144.2247541
176	143.9863506
177	143.7531717
178	143.5188449
179	143.2366837
180	142.9350893
181	142.6866523
182	142.3936405
183	142.1215921
184	141.8974488
185	141.6798205
186	141.4591047
187	141.1662397
188	140.8956802
189	140.6149738
190	140.3248682
191	140.1015073
192	139.9545283
193	139.8265614
194	139.5898991
195	139.3901235
196	139.1630222
197	138.931704
198	138.6794816
199	138.4673785
200	138.220113
201	137.9423429
202	137.7061591
203	137.4929298
204	137.233293
205	136.9413595
206	136.7226759
207	136.4817783
208	136.1809223
209	135.9546193
210	135.665512
211	135.3648985
212	135.0741478
213	134.8007669
214	134.4983489
215	134.2659607
216	134.1093058
217	133.9745739
218	133.7720553
219	133.5398024
220	133.3583053
221	133.1222594
222	132.9296429
223	132.7419507
224	132.5480266
225	132.3912833
226	132.2152836
227	132.0938138
228	131.866847
229	131.6888789
230	131.4391039
231	131.2658921
232	130.9997538
233	130.7515009
234	130.6369659
235	130.3548757
236	130.1519663
237	129.9169853
238	129.6902683
239	129.493555
240	129.3345484
241	129.2023021
242	129.0210475
243	128.8903472
244	128.7482895
245	128.6516619
246	128.5042026
247	128.3134822
248	128.1597604
249	128.033411
250	127.8901941
251	127.7427865
252	127.5851622
253	127.4815854
254	127.3404588
255	127.1549405
256	126.9488422
257	126.816294
258	126.6819461
259	126.5370251
260	126.3127044
261	126.0598645
262	125.8914815
263	125.6271854
264	125.4186997
265	125.2803276
266	125.1502886
267	124.9829167
268	124.881337
269	124.6586194
270	124.5964065
271	124.4805598
272	124.2207882
273	124.0707998
274	123.8780108
275	123.6877844
276	123.5314324
277	123.3696386
278	123.2331785
279	123.0149653
280	122.9067939
281	122.7851219
282	122.631505
283	122.4466628
284	122.3172416
285	122.1191565
286	121.9884262
287	121.8866168
288	121.7653863
289	121.5768724
290	121.3995934
291	121.2241296
292	121.0569218
293	120.8664622
294	120.8019053
295	120.702548
296	120.5050324
297	120.2997813
298	120.1775785
299	119.9970462
300	119.8429745
301	119.7572942
302	119.6220203
303	119.4824866
304	119.3896967
305	119.2753482
306	119.1674341
307	118.9528346
308	118.7769953
309	118.5526551
310	118.4434483
311	118.3180017
312	118.1871745
313	117.977294
314	117.8584315
315	117.7103605
316	117.5097033
317	117.3375121
318	117.2029537
319	117.0781586
320	116.9311261
321	116.7851836
322	116.6653815
323	116.5609374
324	116.301347
325	116.1702317
326	115.9927657
327	115.8524277
328	115.7289363
329	115.5871637
330	115.4572475
331	115.3724664
332	115.1725586
333	115.0470775
334	114.9457129
335	114.8110053
336	114.7297372
337	114.6470649
338	114.5438792
339	114.4578551
340	114.3197692
341	114.2328531
342	114.1344897
343	114.0599848
344	113.9608962
345	113.7722331
346	113.6327948
347	113.5351964
348	113.4708554
349	113.341374
350	113.2326269
351	113.1691935
352	113.0623638
353	112.9463551
354	112.8087487
355	112.7207938
356	112.6295003
357	112.4584987
358	112.4129957
359	112.252088
360	112.1181163
361	112.0152851
362	111.8902194
363	111.7720091
364	111.6317918
365	111.4619953
366	111.353374
367	111.2404885
368	111.1768187
369	111.039866
370	110.9390775
371	110.8711887
372	110.7608703
373	110.6991932
374	110.5492445
375	110.3797648
376	110.2902979
377	110.2068045
378	110.1429532
379	109.9865602
380	109.7811006
381	109.5841805
382	109.4823548
383	109.3177133
384	109.1841778
385	109.1358873
386	108.9448402
387	108.8873715
388	108.7842835
389	108.5947838
390	108.5269537
391	108.3553774
392	108.2103352
393	108.1390914
394	108.0250976
395	107.9378368
396	107.8341026
397	107.7488554
398	107.6353012
399	107.5496438
400	107.4552492
401	107.409494
402	107.327427
403	107.2634706
404	107.161488
405	107.081209
406	107.0095169
407	106.8840587
408	106.676257
409	106.5444297
410	106.4059241
411	106.3311277
412	106.1863049
413	106.0925433
414	105.9872487
415	105.8413587
416	105.6798685
417	105.5442002
418	105.4153896
419	105.2300643
420	105.1101712
421	104.9656998
422	104.8254224
423	104.6780799
424	104.5858483
425	104.539104
426	104.3650995
427	104.2902023
428	104.21064
429	104.0692601
430	104.0108217
431	103.9135936
432	103.8553182
433	103.7707466
434	103.6992391
435	103.6563532
436	103.571789
437	103.4641565
438	103.3072449
439	103.210737
440	103.1270983
441	103.0400803
442	102.9127272
443	102.8738035
444	102.8212757
445	102.7196249
446	102.5929988
447	102.5450906
448	102.4029217
449	102.3192069
450	102.241343
451	102.1551309
452	102.0782214
453	101.9990595
454	101.8602213
455	101.7579885
456	101.679814
457	101.5826425
458	101.548619
459	101.3885683
460	101.292496
461	101.1896091
462	101.0942805
463	100.9748516
464	100.9121103
465	100.7973919
466	100.6557264
467	100.5694824
468	100.4697061
469	100.3759142
470	100.2662332
471	100.2048778
472	100.1353599
473	100.0485874
474	99.96826969
475	99.87966148
476	99.7354571
477	99.65580776
478	99.55039535
479	99.51755107
480	99.4327126
481	99.35886365
482	99.2725677
483	99.19707819
484	99.12636284
485	99.00925968
486	98.93760457
487	98.89302789
488	98.80855408
489	98.71969138
490	98.63629307
491	98.54255524
