"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1006.5","1008.7","28.6","25.6","84","1.2","220","2.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1005.9","1008.1","28.0","25.1","84","1.4","240","2.3","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1005.8","1008.0","27.9","25.0","84","2.8","240","4.0","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1005.6","1007.8","27.5","25.0","86","3.5","240","4.9","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1005.4","1007.6","27.3","24.8","86","2.9","250","4.9","240","0.0","0.0","--","0.00","--","0","--","29.0","29.6","30.3","31.3","32.1","32.8","30.8"
"06","1005.8","1008.0","27.2","24.5","85","2.0","240","4.3","240","0.0","0.0","0.3","0.06","--","0","--","--","--","--","--","--","--","--"
"07","1006.2","1008.4","28.6","25.0","81","2.2","250","3.8","300","0.0","0.0","1.0","0.61","--","0","--","--","--","--","--","--","--","--"
"08","1006.3","1008.5","30.0","24.2","71","1.0","200","2.9","220","0.0","0.0","1.0","1.44","25.0","2","1.0","--","--","--","--","--","--","--"
"09","1006.5","1008.7","30.9","25.0","71","1.6","130","2.6","180","0.0","0.0","1.0","2.23","20.0","5","1.0","29.6","29.4","29.8","30.5","31.6","32.6","30.9"
"10","1006.6","1008.8","31.5","25.9","72","2.7","110","3.8","120","0.0","0.0","1.0","2.91","--","8","--","--","--","--","--","--","--","--"
"11","1006.4","1008.6","31.5","26.3","74","3.1","110","4.7","130","0.0","0.0","1.0","3.40","20.0","11","2.0","--","--","--","--","--","--","--"
"12","1006.2","1008.4","31.8","26.6","74","2.8","110","4.8","120","0.0","0.0","1.0","3.66","--","13","--","--","--","--","--","--","--","--"
"13","1005.7","1007.9","31.4","26.4","75","3.0","120","4.2","130","0.0","0.0","1.0","3.72","--","13","--","--","--","--","--","--","--","--"
"14","1005.5","1007.7","32.3","25.9","69","3.2","110","4.8","120","0.0","0.0","1.0","3.40","20.0","11","3.0","33.8","33.0","32.6","31.6","31.6","32.6","31.0"
"15","1005.2","1007.4","31.7","27.0","76","2.9","120","4.4","110","0.0","0.0","1.0","2.97","--","8","--","--","--","--","--","--","--","--"
"16","1004.7","1006.9","30.8","26.7","79","2.6","120","3.9","140","0.0","0.0","0.3","1.60","--","4","--","--","--","--","--","--","--","--"
"17","1004.3","1006.5","30.4","27.0","82","1.6","140","3.5","120","0.0","0.0","0.2","0.67","18.0","1","5.0","--","--","--","--","--","--","--"
"18","1004.5","1006.7","30.0","26.8","83","1.8","130","3.0","160","0.0","0.0","0.0","0.18","--","0","--","--","--","--","--","--","--","--"
"19","1005.0","1007.2","29.7","26.5","83","2.4","160","3.0","170","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1005.3","1007.5","29.6","26.8","85","1.1","130","2.8","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1005.7","1007.9","29.4","26.8","86","1.1","120","2.2","130","0.0","0.0","--","0.00","--","0","--","31.6","32.2","32.8","33.5","33.3","33.3","31.0"
"22","1006.3","1008.5","29.2","27.0","88","0.7","120","2.0","140","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1006.3","1008.5","29.2","26.0","83","1.0","190","1.7","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1005.5","1007.7","28.8","25.6","83","1.4","200","2.7","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
