"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1006.1","1008.3","23.5","22.7","95","1.5","300","5.7","170","6.0","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1005.5","1007.7","23.2","22.5","96","7.0","240","13.3","210","6.0","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1003.5","1005.7","23.3","22.6","96","1.2","240","6.8","260","2.0","0.7","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1005.4","1007.6","23.0","22.3","96","3.7","240","10.1","240","3.0","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1004.8","1007.0","23.0","22.5","97","4.3","260","7.9","230","1.0","0.8","--","0.00","--","0","--","23.9","24.0","24.6","25.4","26.7","27.9","29.4"
"06","1004.9","1007.1","23.0","22.3","96","4.2","230","7.0","220","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"07","1005.8","1008.0","23.5","22.7","95","5.5","230","8.7","230","0.0","0.0","0.2","0.26","--","0","--","--","--","--","--","--","--","--"
"08","1006.6","1008.8","24.9","23.0","89","6.3","230","10.0","230","0.0","0.0","0.0","0.52","20.0","1","10.0","--","--","--","--","--","--","--"
"09","1006.7","1008.9","26.5","23.0","81","5.3","240","9.2","230","0.0","0.0","0.0","1.01","20.0","2","10.0","25.0","24.6","24.8","25.1","26.4","27.7","29.3"
"10","1007.6","1009.8","27.9","22.9","74","6.0","230","10.8","220","0.0","0.0","0.0","1.15","--","4","--","--","--","--","--","--","--","--"
"11","1007.0","1009.2","28.3","22.1","69","7.0","250","12.6","250","T","0.3","0.0","1.29","20.0","5","10.0","--","--","--","--","--","--","--"
"12","1006.7","1008.9","28.2","23.8","77","4.6","230","8.0","240","T","0.4","0.0","1.49","--","6","--","--","--","--","--","--","--","--"
"13","1005.9","1008.1","29.1","23.3","71","5.5","240","8.0","250","T","0.1","0.0","1.45","--","5","--","--","--","--","--","--","--","--"
"14","1005.0","1007.2","29.9","21.3","60","4.1","240","8.8","250","0.0","0.0","0.0","1.30","20.0","4","10.0","28.0","27.4","27.2","26.1","26.6","27.6","29.2"
"15","1005.3","1007.5","28.9","21.4","64","2.0","210","7.3","190","T","0.2","0.0","0.88","--","3","--","--","--","--","--","--","--","--"
"16","1005.8","1008.0","26.8","22.7","78","2.6","310","13.9","240","T","0.3","0.0","0.42","--","1","--","--","--","--","--","--","--","--"
"17","1005.4","1007.6","26.9","22.5","77","2.4","360","3.8","320","T","0.3","0.0","0.12","20.0","0","10.0","--","--","--","--","--","--","--"
"18","1008.0","1010.2","23.9","22.7","93","2.9","240","9.5","210","18.0","1.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"19","1008.5","1010.7","24.1","23.3","95","0.9","180","7.4","220","7.0","1.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1008.6","1010.8","23.5","22.7","95","1.5","320","5.8","190","8.0","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1008.8","1011.0","23.7","22.9","95","2.6","320","6.4","350","1.5","0.9","--","0.00","--","0","--","24.3","24.6","25.3","26.0","27.1","27.9","29.1"
"22","1008.6","1010.8","23.7","22.9","95","4.2","60","6.4","70","2.5","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1008.7","1010.9","23.3","22.5","95","2.2","280","8.9","220","9.0","0.7","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1008.4","1010.6","23.5","22.8","96","2.0","30","3.5","300","1.0","0.8","--","0.00","--","0","--","--","--","--","--","--","--","--"
