"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1013.3","1015.5","23.3","20.3","83","1.6","260","3.7","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1012.9","1015.1","22.8","20.2","85","1.7","250","3.4","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1013.1","1015.3","23.0","20.2","84","2.8","250","4.6","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1013.2","1015.4","23.3","20.1","82","1.5","270","4.8","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1013.4","1015.6","23.2","20.2","83","2.0","270","3.9","240","0.0","0.0","--","0.00","--","0","--","23.4","23.6","24.1","24.9","26.1","27.3","28.3"
"06","1013.8","1016.0","22.9","20.1","84","1.8","260","2.9","250","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1014.5","1016.7","23.2","20.7","86","2.0","260","3.3","250","0.0","0.0","0.1","0.14","--","0","--","--","--","--","--","--","--","--"
"08","1015.0","1017.2","24.8","20.9","79","1.9","260","4.2","270","0.0","0.0","0.0","0.62","20.0","1","9.0","--","--","--","--","--","--","--"
"09","1015.2","1017.4","25.3","21.2","78","2.4","250","4.1","230","0.0","0.0","0.0","0.74","20.0","2","9.0","24.5","24.1","24.2","24.6","25.9","27.2","28.3"
"10","1015.1","1017.3","26.4","20.3","69","1.0","190","3.7","260","0.0","0.0","0.0","1.20","--","3","--","--","--","--","--","--","--","--"
"11","1014.5","1016.7","28.5","20.3","61","3.1","20","5.4","30","0.0","0.0","0.2","1.84","25.0","5","8.0","--","--","--","--","--","--","--"
"12","1013.8","1016.0","28.6","20.9","63","3.6","60","6.4","20","0.0","0.0","1.0","3.37","--","10","--","--","--","--","--","--","--","--"
"13","1013.1","1015.3","29.4","21.4","62","3.5","80","6.4","80","0.0","0.0","1.0","3.38","--","9","--","--","--","--","--","--","--","--"
"14","1012.8","1015.0","28.1","21.2","66","2.9","40","6.0","80","0.0","0.0","0.0","1.30","20.0","4","10.0","29.7","29.6","28.7","26.2","26.2","27.2","28.3"
"15","1012.9","1015.1","27.7","21.0","67","3.0","20","5.6","90","0.0","0.0","0.0","0.78","--","2","--","--","--","--","--","--","--","--"
"16","1013.0","1015.2","27.3","22.1","73","3.1","40","5.9","40","0.0","0.0","0.0","0.43","--","1","--","--","--","--","--","--","--","--"
"17","1013.4","1015.6","26.7","21.5","73","2.2","10","6.3","30","0.0","0.0","0.0","0.09","20.0","0","10.0","--","--","--","--","--","--","--"
"18","1013.7","1015.9","26.6","21.4","73","1.4","20","4.3","350","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"19","1013.8","1016.0","26.4","21.0","72","1.8","10","2.9","340","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1014.4","1016.6","26.1","21.8","77","1.2","20","2.9","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1014.7","1016.9","25.5","21.2","77","1.3","300","2.7","20","0.0","0.0","--","0.00","--","0","--","26.0","26.4","26.8","27.2","27.5","27.6","28.2"
"22","1014.5","1016.7","25.4","21.3","78","1.6","270","3.0","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1014.1","1016.3","24.3","21.2","83","2.5","240","3.7","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1014.0","1016.2","24.7","21.2","81","2.2","260","4.2","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
