"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1001.3","1003.5","26.5","24.2","87","3.8","240","5.7","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1000.7","1002.9","26.2","23.7","86","4.2","230","6.3","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1001.0","1003.2","26.4","23.7","85","2.8","250","6.9","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1000.9","1003.1","26.1","23.6","86","4.0","240","6.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1001.4","1003.6","26.0","23.3","85","3.4","240","6.0","250","0.0","0.0","--","0.00","--","0","--","28.5","29.3","30.2","31.3","32.3","33.4","32.2"
"06","1001.7","1003.9","25.9","23.2","85","3.9","240","6.4","230","0.0","0.0","0.0","0.03","--","0","--","--","--","--","--","--","--","--"
"07","1001.5","1003.7","27.4","23.2","78","4.8","240","6.7","240","0.0","0.0","0.9","0.59","--","0","--","--","--","--","--","--","--","--"
"08","1001.6","1003.8","29.6","23.6","70","2.2","200","5.9","230","0.0","0.0","1.0","1.44","25.0","2","2.0","--","--","--","--","--","--","--"
"09","1001.9","1004.1","30.3","24.2","70","1.9","170","4.3","220","0.0","0.0","1.0","1.98","25.0","4","4.0","29.5","29.3","30.0","30.8","32.0","33.3","32.2"
"10","1001.8","1004.0","30.7","24.1","68","2.9","140","4.6","140","0.0","0.0","0.8","2.74","--","7","--","--","--","--","--","--","--","--"
"11","1001.6","1003.8","31.2","25.8","73","3.4","160","5.4","160","0.0","0.0","0.7","2.70","25.0","9","4.0","--","--","--","--","--","--","--"
"12","1001.2","1003.3","31.3","26.6","76","5.0","170","6.8","170","0.0","0.0","0.7","2.92","--","11","--","--","--","--","--","--","--","--"
"13","1001.0","1003.1","31.4","26.4","75","4.8","160","7.1","190","0.0","0.0","1.0","3.86","--","13","--","--","--","--","--","--","--","--"
"14","1000.4","1002.5","31.8","26.8","75","3.3","160","6.1","170","0.0","0.0","1.0","3.34","25.0","11","1.0","34.4","32.5","32.2","31.4","32.0","33.3","32.2"
"15","1000.3","1002.4","31.3","26.1","74","3.4","160","5.2","150","0.0","0.0","1.0","2.86","--","8","--","--","--","--","--","--","--","--"
"16","1000.3","1002.5","30.5","25.8","76","3.6","170","4.9","170","0.0","0.0","0.3","1.02","--","3","--","--","--","--","--","--","--","--"
"17","1000.3","1002.5","30.6","26.3","78","3.3","170","5.0","170","0.0","0.0","0.2","0.77","20.0","1","4.0","--","--","--","--","--","--","--"
"18","1000.8","1003.0","29.9","26.1","80","1.8","230","5.4","180","0.0","0.0","0.0","0.26","--","0","--","--","--","--","--","--","--","--"
"19","1001.3","1003.5","29.8","26.4","82","3.1","180","5.7","180","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1001.9","1004.1","29.7","25.7","79","2.8","190","5.1","190","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1002.2","1004.4","29.4","25.4","79","2.1","240","6.2","190","0.0","0.0","--","0.00","--","0","--","31.7","32.4","33.1","33.3","33.2","33.7","32.2"
"22","1002.1","1004.3","29.0","25.6","82","2.0","210","5.2","210","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1001.8","1004.0","28.5","25.1","82","3.5","220","5.9","210","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1001.3","1003.5","28.0","25.1","84","2.1","220","5.3","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
