"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1006.7","1008.9","26.9","24.0","84","3.6","240","5.1","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1006.0","1008.2","26.5","24.0","86","3.1","250","6.1","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1006.0","1008.2","26.6","24.1","86","2.7","250","6.1","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1006.0","1008.2","26.2","23.3","84","2.5","240","4.8","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1006.1","1008.3","26.0","23.7","87","3.8","240","5.7","220","0.0","0.0","--","0.00","--","0","--","28.2","29.2","29.9","31.0","32.1","32.8","31.8"
"06","1006.7","1008.9","26.0","23.7","87","2.8","250","5.7","240","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"07","1007.2","1009.4","26.7","23.4","82","2.4","250","5.1","250","0.0","0.0","0.5","0.37","--","0","--","--","--","--","--","--","--","--"
"08","1007.3","1009.5","28.7","23.8","75","2.9","240","4.5","230","0.0","0.0","0.9","1.18","25.0","2","8.0","--","--","--","--","--","--","--"
"09","1007.2","1009.4","29.9","23.9","70","1.9","190","3.8","220","0.0","0.0","1.0","2.16","25.0","5","9.0","29.1","29.1","29.6","30.4","31.6","32.7","31.9"
"10","1007.3","1009.5","30.8","24.9","71","2.5","90","4.3","120","0.0","0.0","1.0","2.64","--","8","--","--","--","--","--","--","--","--"
"11","1007.0","1009.2","31.5","25.6","71","3.1","90","5.3","90","0.0","0.0","1.0","3.35","20.0","11","7.0","--","--","--","--","--","--","--"
"12","1006.9","1009.1","30.7","25.5","74","4.1","80","6.4","100","0.0","0.0","0.4","2.66","--","10","--","--","--","--","--","--","--","--"
"13","1006.0","1008.2","31.8","26.4","73","3.2","90","6.6","70","0.0","0.0","0.8","3.34","--","12","--","--","--","--","--","--","--","--"
"14","1005.6","1007.8","31.3","26.4","75","3.6","80","6.0","80","0.0","0.0","1.0","3.28","15.0","10","7.0","33.0","31.7","31.7","31.2","31.6","32.7","31.9"
"15","1005.4","1007.6","31.2","25.8","73","3.8","70","6.8","80","0.0","0.0","0.8","2.18","--","7","--","--","--","--","--","--","--","--"
"16","1005.4","1007.6","30.4","25.5","75","3.1","40","6.1","70","0.0","0.0","0.1","0.86","--","2","--","--","--","--","--","--","--","--"
"17","1006.0","1008.2","27.0","23.3","80","5.5","200","9.4","140","0.0","0.0","0.0","0.22","10.0","0","9.0","--","--","--","--","--","--","--"
"18","1005.7","1007.9","26.5","24.2","87","2.1","250","6.2","200","T","0.2","0.0","0.08","--","0","--","--","--","--","--","--","--","--"
"19","1005.1","1007.3","27.1","24.9","88","0.5","360","4.3","310","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1005.6","1007.8","26.3","24.5","90","2.5","250","4.0","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1006.8","1009.0","26.3","24.7","91","3.0","250","5.1","240","0.0","0.0","--","0.00","--","0","--","29.4","30.5","31.4","32.3","32.7","32.9","31.9"
"22","1006.7","1008.9","26.5","24.5","89","3.4","240","5.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1006.4","1008.6","26.2","23.9","87","3.7","250","5.6","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1005.8","1008.0","25.9","23.6","87","3.9","240","6.4","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
