"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1014.5","1016.7","25.8","24.2","91","1.8","310","5.1","320","0.5","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1014.7","1016.9","25.2","24.0","93","2.8","10","5.8","10","2.0","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1014.1","1016.3","25.0","23.8","93","2.4","320","6.2","320","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1014.5","1016.7","25.3","23.9","92","3.2","20","8.8","30","2.0","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1015.0","1017.2","24.6","23.4","93","4.3","340","7.3","340","1.0","0.9","--","0.00","--","0","--","26.5","27.1","27.9","29.1","30.0","30.2","29.4"
"06","1015.8","1018.0","25.1","23.5","91","2.8","30","7.4","320","1.0","0.6","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1016.4","1018.6","25.0","23.8","93","2.5","320","6.2","60","5.5","0.7","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"08","1016.8","1019.0","24.9","23.7","93","2.6","360","6.0","320","0.5","0.7","0.0","0.19","15.0","0","10.0","--","--","--","--","--","--","--"
"09","1017.1","1019.3","26.5","24.2","87","3.0","350","6.6","360","T","0.1","0.1","0.81","15.0","2","9.0","26.3","26.4","27.0","28.1","29.4","30.0","29.4"
"10","1017.2","1019.4","25.8","23.9","89","3.9","360","9.3","40","0.5","0.5","0.2","1.04","--","3","--","--","--","--","--","--","--","--"
"11","1016.5","1018.7","27.4","24.1","82","5.1","30","9.2","30","T","0.2","0.0","1.19","20.0","4","9.0","--","--","--","--","--","--","--"
"12","1016.0","1018.2","27.8","24.0","80","4.8","20","10.1","20","0.0","0.0","0.2","1.63","--","6","--","--","--","--","--","--","--","--"
"13","1015.0","1017.2","28.2","23.8","77","5.9","30","11.1","30","0.0","0.0","0.0","1.33","--","5","--","--","--","--","--","--","--","--"
"14","1014.6","1016.8","27.6","23.6","79","5.1","40","10.0","20","0.0","0.0","0.2","1.65","20.0","5","9.0","28.5","28.4","28.4","28.2","29.0","29.8","29.5"
"15","1014.5","1016.7","26.9","24.4","86","3.2","50","9.6","20","T","0.2","0.0","0.92","--","2","--","--","--","--","--","--","--","--"
"16","1014.6","1016.8","26.7","23.8","84","4.6","30","10.2","10","0.0","0.0","0.0","0.54","--","1","--","--","--","--","--","--","--","--"
"17","1014.9","1017.1","25.6","24.2","92","3.1","50","10.6","40","0.5","0.9","0.0","0.31","15.0","0","10.0","--","--","--","--","--","--","--"
"18","1015.3","1017.5","24.9","23.7","93","5.5","40","9.2","40","1.5","1.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"19","1015.5","1017.7","24.9","23.9","94","3.2","360","9.7","40","4.0","0.8","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1015.9","1018.1","24.9","23.9","94","2.4","20","6.1","10","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1016.1","1018.3","25.2","24.2","94","2.2","360","4.3","20","T","0.2","--","0.00","--","0","--","26.3","26.6","27.3","28.2","29.1","29.6","29.5"
"22","1016.0","1018.2","25.2","24.2","94","2.6","30","4.0","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1015.7","1017.9","24.7","23.7","94","3.8","360","5.8","360","T","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1015.0","1017.2","24.4","23.5","95","4.3","340","7.2","340","0.5","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
