"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.5","1011.7","26.1","25.2","95","0.7","360","1.8","200","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1009.5","1011.7","25.8","24.9","95","1.1","250","2.2","320","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1009.4","1011.6","25.8","24.9","95","1.3","300","2.1","290","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1009.6","1011.8","25.9","24.7","93","1.5","300","2.6","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1009.8","1012.0","25.9","24.7","93","1.9","230","2.5","300","0.0","0.0","--","0.00","--","0","--","27.3","27.6","28.3","29.2","30.5","31.6","31.8"
"06","1010.1","1012.3","25.8","24.6","93","1.1","240","2.3","240","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"07","1010.6","1012.8","26.0","25.0","94","1.5","250","2.7","270","0.0","0.0","0.0","0.24","--","0","--","--","--","--","--","--","--","--"
"08","1011.2","1013.4","27.4","25.8","91","1.1","220","2.8","240","0.0","0.0","0.0","0.87","25.0","1","8.0","--","--","--","--","--","--","--"
"09","1011.5","1013.7","28.7","25.3","82","1.9","100","3.6","70","0.0","0.0","0.3","1.60","25.0","3","9.0","28.6","28.2","28.4","28.8","30.2","31.5","31.8"
"10","1011.4","1013.6","29.2","25.2","79","2.8","40","5.4","40","0.0","0.0","0.0","1.33","--","4","--","--","--","--","--","--","--","--"
"11","1011.2","1013.4","30.1","24.3","71","3.6","30","6.4","20","0.0","0.0","0.5","2.50","20.0","9","5.0","--","--","--","--","--","--","--"
"12","1010.3","1012.5","30.8","24.5","69","3.1","40","6.5","30","0.0","0.0","0.6","2.74","--","10","--","--","--","--","--","--","--","--"
"13","1009.5","1011.7","29.6","24.7","75","3.5","80","6.4","80","0.0","0.0","0.1","1.94","--","8","--","--","--","--","--","--","--","--"
"14","1009.0","1011.2","29.6","25.2","77","3.1","90","5.5","90","0.0","0.0","0.0","1.22","25.0","5","9.0","31.0","31.0","31.1","29.9","30.4","31.4","31.8"
"15","1009.0","1011.2","29.1","25.3","80","2.4","100","4.4","100","0.0","0.0","0.0","0.88","--","3","--","--","--","--","--","--","--","--"
"16","1009.2","1011.4","28.5","25.1","82","2.0","100","4.3","90","0.0","0.0","0.0","0.38","--","1","--","--","--","--","--","--","--","--"
"17","1009.7","1011.9","27.3","25.5","90","3.0","300","4.4","310","1.5","0.6","0.0","0.06","8.0","0","10.0","--","--","--","--","--","--","--"
"18","1009.8","1012.0","26.2","24.8","92","2.2","300","4.3","310","2.0","1.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"19","1009.9","1012.1","26.4","25.4","94","2.7","230","4.0","220","0.5","0.5","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1010.6","1012.8","26.2","25.3","95","2.7","240","4.7","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1011.1","1013.3","25.8","24.9","95","1.7","260","5.0","240","0.0","0.0","--","0.00","--","0","--","28.2","28.6","29.3","30.0","30.9","31.5","31.7"
"22","1011.1","1013.3","25.9","25.0","95","1.7","290","3.3","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1010.9","1013.1","26.0","25.1","95","1.9","240","2.8","240","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1010.6","1012.8","26.0","25.1","95","1.4","240","2.6","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
