"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1003.4","1005.6","28.8","24.2","76","1.5","270","2.8","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1002.5","1004.7","27.8","24.0","80","2.1","240","4.0","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1002.5","1004.7","27.7","23.9","80","1.6","250","3.8","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1002.5","1004.7","27.1","22.9","78","1.4","240","3.2","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1003.0","1005.2","26.8","22.7","78","1.9","240","3.7","230","0.0","0.0","--","0.00","--","0","--","28.9","29.9","30.6","31.9","32.8","33.4","31.5"
"06","1003.9","1006.1","26.7","21.9","75","2.8","240","4.4","230","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"07","1004.4","1006.6","28.2","22.9","73","2.5","260","4.6","250","0.0","0.0","0.6","0.54","--","0","--","--","--","--","--","--","--","--"
"08","1004.8","1007.0","28.8","23.9","75","1.8","250","4.5","240","0.0","0.0","0.3","0.50","18.0","1","6.0","--","--","--","--","--","--","--"
"09","1004.5","1006.7","30.4","23.6","67","2.4","250","3.9","240","0.0","0.0","0.6","1.50","18.0","4","9.0","29.3","29.4","30.0","31.1","32.3","33.3","31.6"
"10","1004.2","1006.4","30.9","23.6","65","1.6","180","4.5","220","0.0","0.0","0.1","1.31","--","4","--","--","--","--","--","--","--","--"
"11","1003.5","1005.7","31.3","23.7","64","2.0","160","3.1","160","0.0","0.0","0.2","1.77","20.0","7","9.0","--","--","--","--","--","--","--"
"12","1003.5","1005.7","31.2","25.3","71","2.5","120","4.2","130","0.0","0.0","0.3","2.29","--","9","--","--","--","--","--","--","--","--"
"13","1002.9","1005.0","32.7","25.0","64","3.3","110","4.2","120","0.0","0.0","0.8","3.08","--","11","--","--","--","--","--","--","--","--"
"14","1002.6","1004.8","31.5","24.1","65","3.2","120","4.5","130","0.0","0.0","0.9","2.94","18.0","10","8.0","32.9","32.1","32.2","31.7","32.1","33.2","31.6"
"15","1002.6","1004.8","31.2","24.1","66","2.7","80","4.5","80","0.0","0.0","0.1","1.53","--","5","--","--","--","--","--","--","--","--"
"16","1002.8","1005.0","31.3","22.1","58","3.1","50","6.6","100","0.0","0.0","0.2","1.47","--","4","--","--","--","--","--","--","--","--"
"17","1002.7","1004.9","31.1","23.8","65","2.5","90","5.0","70","0.0","0.0","0.4","1.01","18.0","2","8.0","--","--","--","--","--","--","--"
"18","1003.2","1005.4","30.4","24.3","70","2.5","80","4.3","80","0.0","0.0","0.2","0.44","--","0","--","--","--","--","--","--","--","--"
"19","1003.8","1006.0","30.2","24.1","70","2.7","30","3.9","80","0.0","0.0","0.0","0.03","--","0","--","--","--","--","--","--","--","--"
"20","1003.6","1005.8","29.7","24.1","72","1.6","340","4.2","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1004.0","1006.2","29.3","24.6","76","1.0","170","2.6","180","0.0","0.0","--","0.00","--","0","--","31.1","31.8","32.5","33.0","33.1","33.4","31.7"
"22","1004.6","1006.8","29.2","24.5","76","0.7","150","2.3","140","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1004.4","1006.6","28.7","24.3","77","2.0","240","2.9","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1004.4","1006.6","28.1","23.7","77","2.5","240","3.9","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
