"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1004.6","1006.8","26.3","25.3","94","2.5","260","4.6","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1004.6","1006.8","26.2","25.2","94","2.9","240","4.0","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1004.9","1007.1","26.2","25.3","95","2.8","240","4.6","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1004.8","1007.0","26.2","25.0","93","1.9","280","3.9","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1004.2","1006.4","26.1","25.1","94","2.0","240","3.4","240","0.0","0.0","--","0.00","--","0","--","27.9","28.2","28.9","29.7","31.0","32.3","32.2"
"06","1004.4","1006.6","26.3","24.9","92","2.2","260","3.7","270","0.0","0.0","0.1","0.04","--","0","--","--","--","--","--","--","--","--"
"07","1005.1","1007.3","27.0","25.2","90","2.0","230","3.5","230","0.0","0.0","0.3","0.38","--","0","--","--","--","--","--","--","--","--"
"08","1005.7","1007.9","27.7","25.5","88","1.2","240","3.3","250","0.0","0.0","0.0","0.53","25.0","1","10.0","--","--","--","--","--","--","--"
"09","1005.4","1007.6","28.2","25.6","86","1.7","240","2.9","220","0.0","0.0","0.0","0.64","25.0","2","9.0","28.5","28.3","28.8","29.3","30.6","32.1","32.2"
"10","1004.9","1007.1","30.5","26.5","79","1.6","200","3.4","220","0.0","0.0","0.3","1.83","--","6","--","--","--","--","--","--","--","--"
"11","1004.4","1006.6","30.8","25.6","74","2.9","80","4.6","60","0.0","0.0","0.7","2.84","20.0","10","9.0","--","--","--","--","--","--","--"
"12","1004.0","1006.2","31.6","26.2","73","3.1","80","5.5","70","0.0","0.0","0.8","3.60","--","13","--","--","--","--","--","--","--","--"
"13","1004.0","1006.2","31.4","25.8","72","3.5","90","6.0","70","0.0","0.0","0.8","3.48","--","12","--","--","--","--","--","--","--","--"
"14","1003.7","1005.9","30.6","25.9","76","2.5","100","5.6","80","0.0","0.0","0.1","1.24","18.0","5","10.0","30.9","30.8","31.2","30.5","30.8","31.9","32.2"
"15","1004.0","1006.2","28.2","25.4","85","3.6","350","8.0","350","T","0.2","0.0","0.60","--","2","--","--","--","--","--","--","--","--"
"16","1004.2","1006.4","26.8","25.4","92","5.0","340","8.4","350","22.5","1.0","0.0","0.18","--","1","--","--","--","--","--","--","--","--"
"17","1004.2","1006.4","25.8","24.9","95","3.1","360","9.3","330","36.5","1.0","0.0","0.10","8.0","0","10.0","--","--","--","--","--","--","--"
"18","1004.9","1007.1","26.0","25.1","95","0.6","120","6.0","20","4.0","1.0","0.0","0.07","--","0","--","--","--","--","--","--","--","--"
"19","1005.0","1007.2","26.0","25.3","96","2.0","270","3.7","270","9.5","1.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1004.8","1007.0","25.7","25.2","97","3.9","230","5.6","240","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1004.1","1006.3","25.8","25.3","97","4.9","230","8.7","220","0.0","0.0","--","0.00","--","0","--","26.1","26.5","27.3","28.5","30.1","31.3","32.1"
"22","1004.1","1006.3","25.7","25.0","96","3.1","230","8.5","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1005.0","1007.2","25.8","25.1","96","2.9","240","5.7","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1004.4","1006.6","25.9","25.2","96","2.6","250","4.8","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
