"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1004.9","1007.1","28.4","25.2","83","1.7","260","3.7","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1004.6","1006.8","27.7","23.9","80","2.2","240","2.9","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1004.1","1006.3","27.5","23.5","79","2.6","240","3.9","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1004.0","1006.2","27.3","24.4","84","3.1","240","5.4","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1004.0","1006.2","26.8","21.8","74","2.8","260","5.4","240","0.0","0.0","--","0.00","--","0","--","28.8","29.7","30.4","31.6","32.5","33.3","31.2"
"06","1004.6","1006.8","26.6","21.4","73","2.1","250","4.4","270","0.0","0.0","0.2","0.05","--","0","--","--","--","--","--","--","--","--"
"07","1005.0","1007.2","28.1","21.2","66","0.3","220","3.0","260","0.0","0.0","1.0","0.59","--","0","--","--","--","--","--","--","--","--"
"08","1005.4","1007.6","29.4","22.4","66","1.2","110","2.3","180","0.0","0.0","1.0","1.35","25.0","2","3.0","--","--","--","--","--","--","--"
"09","1005.4","1007.6","31.1","24.0","66","2.0","40","4.7","20","0.0","0.0","1.0","2.16","25.0","5","1.0","29.3","29.3","29.7","30.8","31.9","33.1","31.3"
"10","1004.8","1007.0","32.1","24.5","64","3.8","90","5.4","90","0.0","0.0","1.0","2.87","--","8","--","--","--","--","--","--","--","--"
"11","1004.5","1006.7","30.9","24.3","68","3.1","80","5.4","90","0.0","0.0","1.0","3.36","25.0","11","1.0","--","--","--","--","--","--","--"
"12","1004.2","1006.4","31.4","25.0","69","3.0","90","5.0","70","0.0","0.0","1.0","3.63","--","13","--","--","--","--","--","--","--","--"
"13","1003.9","1006.1","31.9","25.3","68","2.9","100","5.2","80","0.0","0.0","1.0","3.62","--","13","--","--","--","--","--","--","--","--"
"14","1003.3","1005.4","31.9","25.8","70","4.1","110","5.1","120","0.0","0.0","1.0","3.41","25.0","11","4.0","33.9","33.0","32.7","31.8","31.9","33.0","31.3"
"15","1003.2","1005.3","32.7","25.3","65","3.4","90","6.0","100","0.0","0.0","1.0","3.04","--","8","--","--","--","--","--","--","--","--"
"16","1003.2","1005.4","31.6","24.7","67","2.3","50","6.2","90","0.0","0.0","0.4","1.48","--","3","--","--","--","--","--","--","--","--"
"17","1003.3","1005.5","31.3","24.7","68","2.1","30","4.6","80","0.0","0.0","0.0","0.48","20.0","1","10.0","--","--","--","--","--","--","--"
"18","1003.2","1005.4","30.8","24.9","71","1.8","80","4.3","40","0.0","0.0","0.0","0.17","--","0","--","--","--","--","--","--","--","--"
"19","1003.0","1005.2","30.6","24.8","71","1.7","90","3.2","80","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1003.2","1005.4","29.7","25.2","77","1.4","100","2.3","90","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1003.8","1006.0","29.5","25.5","79","0.6","100","2.0","110","0.0","0.0","--","0.00","--","0","--","31.6","32.3","33.0","33.8","33.6","33.5","31.4"
"22","1004.4","1006.6","29.4","25.0","77","0.5","170","1.7","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1004.6","1006.8","28.6","24.8","80","1.6","230","2.9","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1004.3","1006.5","28.6","24.6","79","2.0","240","3.0","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
